descricao,correto,insumo_1
30 CAP | BUPROPIONA CLORIDRATO  150MG,39.9,BUPROPIONA CLORIDRATO
60 CAP | FINASTERIDA 1:10  1MG,43.6,FINASTERIDA 1:10
60 CAP | NAC  250MG; SILIMARINA  150MG; SAME  50MG,111.4,NAC
60 CAP | ANASTROZOL 1:10 0.300MG,43.6,ANASTROZOL 1:10 0.
120 CAP | DUTASTERIDA 0.250MG; TADALAFIL  10MG,146.0,DUTASTERIDA 0.
240 CAP | TRIIODOTIRONINA SLOW RELEASE  12MCG,77.0,TRIIODOTIRONINA SLOW RELEASE
120 CAP | T4  60MCG,50.0,T4
60 CAP | VITAMINA B2  30MG; VITAMINA B3  60MG; VITAMINA B5  70MG; VITAMINA B6  30MG; ACIDO FOLICO  3MG; ZINCO QUELADO  30MG; VITAMINA B12  60MCG; SELENIO QUELADO  200MCG; MAGNESIO QUELADO 30%  400MG; PICOLINATO DE CROMO  1000MCG; SAW PALMETO EXT SECO  200MG; ESPIRONOLACTONA  100MG; PYGEUM AFRICANUM EXT. SECO  100MG; FINASTERIDA 0.500MG,272.2,VITAMINA B2
60 CAP | CORTISOL  20MG; PRASTERONA  20MG,206.6,CORTISOL
30 CAP | TADALAFIL  10MG; ARGININA  2G,127.4,TADALAFIL
120 CAP | MAGNESIO QUELADO 30%  200MG; COENZIMA Q10 PO  100MG,227.5,MAGNESIO QUELADO 30%
60 CAP | SILIMARINA  200MG; VITAMINA B12  300MCG; VITAMINA B6  100MG; ACIDO FOLICO 2.500MG; NAC  200MG,101.4,SILIMARINA
30 CAP | VITAMINA D  10000UI; VITAMINA K2 MK7  100MCG,39.9,VITAMINA D
60 CAP | OXANDROLONA  20MG,125.7,OXANDROLONA
45 CAP | BUPROPIONA CLORIDRATO  150MG,45.8,BUPROPIONA CLORIDRATO
180 CAP | TRIIODOTIRONINA SLOW RELEASE  10MCG,57.9,TRIIODOTIRONINA SLOW RELEASE
90 CAP | T4  50MCG,47.4,T4
60 CAP | COENZIMA Q10 PO  100MG; MAGNESIO QUELADO 30%  200MG,131.8,COENZIMA Q10 PO
30 CAP | VITAMINA D3 1:100  4000UI,39.9,VITAMINA D3 1:100
90 CAP | CITRUS AURANTIUM EXT SECO  200MG; CAMELIA SINENSIS  400MG; CAPSICUM ANNUUM  6MG; ZINGIBER OFFICINALIS L. ROSCOE  200MG; CAFEINA BASE ANIDRA  100MG,201.7,CITRUS AURANTIUM EXT SECO
